l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1574.4,1973.2,2126.8,2310.1,2750,2918.7,3073.6,3305.2,3462.8,3612.5,3673.6,3753.9,3949.8,4022.8,4092.2,4199.6,4302.2,4380.1,4453.6,4802.6,4947.2,5104.1,5176.4,5248.2,5354.6,5454.3,5528.1,5605.9,5848.2,5987.7,6154.3,6226.4,6296.9,6405.1,6506.2,6577.8,6658.3,6923.4,7066.8,7229.7,7303.7,7381.1,7622.5,7773.8,7929.4,8001.8,8072.7,8175.7,8282.2,8353.5,8434.6
1656.3,2012.1,2191.3,2380.5,2801,2976.6,3137.4,3361.7,3532.4,3664.2,3747.2,3824,3998.5,4072.5,4156.5,4264.8,4363.9,4420.6,4503.8,4859.7,5018.7,5155.1,5231.6,5314.1,5413.4,5512,5602,5679.7,5907.5,6064.2,6204,6279.3,6362.1,6468.3,6568.7,6651.6,6727.4,6979.9,7142.4,7289.5,7371,7451.2,7751.4,7829.8,7979.9,8054.7,8138,8247.1,8343.2,8430.7,8514.8
