l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1943,2593,2781,2941,3155,3337,3499,3657,3867,4027,4161,4236.2,4312.4,4499,4571,4641,4751,4853,4925.6,5003,5245,5395,5561,5633,5703,5811,5911,5991,6064.4,6289,6437,6579,6655,6727,6835,6935,7009.7,7089.7,7447,7593,7753,7827,7903,8007,8115,8190.7,8270.4,8475,8631,8765,8837,8913,9019,9125,9203,9280.2
2021,2713,2867,3019,3217,3413,3573,3723,3933,4099,4223,4291.7,4375.9,4553,4627,4709,4819,4915,4992.3,5076.8,5309,5471,5615,5689,5775,5879,5973,6052.9,6129.9,6425,6499,6637,6711,6793,6905,6999,7077.2,7155.6,7513,7673,7811,7885,7969,8079,8179,8258.1,8339.6,8607,8685,8819,8897,8981,9093,9179,9268.6,9350.6
