r,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1995,2867,3029,3471,3647,3811,4029,4181,4323,4400.7,4473.4,4657,4731,4801,4905,5007,5082.1,5158.2,5463,5611,5771,5843,5913,6021,6125,6201,6277.8,6623,6771,6939,7011,7083,7191,7295,7369,7445.2,7863,8017,8183,8255,8325,8435,8541,8614.1,8694.3,8913,9059,9215,9291,9361,9469,9575,9650.8,9731.7
2039,2923,3135,3527,3711,3879,4089,4255,4383,4450.9,4536.1,4711,4787,4869,4973,5069,5145.6,5224.5,5521,5685,5827,5901,5983,6093,6187,6267.7,6352.3,6687,6851,6993,7071,7155,7263,7357,7433.6,7515,7927,8097,8239,8313,8395,8509,8605,8683.5,8762.9,9043,9125,9273,9347,9429,9543,9639,9721.7,9800.8
