l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
475,671,1961,2111,2265,2429,2589,2807,2965,3107,3185.5,3259.6,3435,3511,3581,3689,3791,3869,3947.7,4231,4371,4533,4607,4681,4789,4897,4973,5050.3,5295,5449,5607,5685.3,5760.8,5959,6247,6323,6393,6503,6607,6684.4,6764.5,6991,7145,7281,7357,7429,7539,7645,7721.9,7801.9,8021,8163,8351,8501,8641,8720.2,8798.6,8993,9149,9283,9357,9429,9535,9643,9723,9801.7,10159,10307,10467,10543,10617,10725,10831,10909,10988,11211,11363,11507,11581,11653,11763,11869,11948,12028,12291,12477,12711,12867,13009,13090,13168,13371,13525,13661,13737,13809,13917,14027,14105,14184
535,759,2017,2197,2349,2503,2667,2875,3037,3165,3239.1,3324.6,3495,3567,3647,3755,3855,3931.7,4012.2,4291,4453,4583,4669,4751,4861,4957,5038.8,5117.8,5363,5527,5665,5749.5,5829.2,6095,6303,6379,6465,6573,6671,6749.2,6833.7,7125,7213,7337,7415,7499,7611,7711,7790.2,7866.2,8089,8239,8419,8585,8709,8787.6,8869.5,9137,9213,9335,9415,9501,9611,9705,9791.4,9870.4,10221,10387,10525,10603,10689,10797,10897,10978,11057,11353,11427,11563,11641,11725,11837,11935,12016,12096,12357,12551,12785,12949,13079,13148,13236,13507,13595,13717,13795,13881,13995,14087,14174,14252
