l,l,l,l,l,l,r,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1461,1599,1787,1955,2113,2269,2459,2635,2799,2969,3145,3213,3291,3535,3687,3853,3929,4001,4103,4225,4295,4369,4629,4785,4951,5025,5099,5207,5325,5397,5473,5713,5843,6029,6175,6329,6397,6473,6675,6825,6957,7033,7105,7213,7329,7399,7477,7677,7827,7961,8035,8107,8213,8331,8403,8481,8721,8859,9043,9193,9335,9413,9489,9677,9831,9959,10033,10105,10211,10327,10399,10473,10701,10881,11043,11241,11385,11541,11613,11689,11879,12035,12165,12241,12313,12419,12535,12609,12683,12939,13079,13257,13405,13547,13627,13705,13901,14053,14185,14257,14331,14439,14557,14629,14707,15111,15267,15419,15491,15569,15777,15931,16071,16145,16219,16323,16443,16517,16595,16981,17133,17291,17361,17439,17673,17823,17967,18041,18115,18223,18345,18417,18493
1501,1707,1883,2047,2191,2343,2523,2697,2863,3041,3183,3265,3349,3613,3775,3915,3989,4071,4183,4273,4353,4437,4697,4865,5011,5087,5171,5281,5377,5457,5535,5781,5915,6107,6261,6379,6455,6541,6811,6891,7017,7095,7179,7289,7379,7461,7539,7821,7897,8021,8101,8181,8293,8387,8465,8545,8785,8933,9117,9281,9395,9475,9555,9815,9893,10019,10099,10181,10287,10381,10461,10539,10771,10957,11117,11321,11477,11599,11675,11755,12025,12103,12227,12305,12387,12497,12591,12669,12751,13007,13155,13337,13493,13609,13681,13773,14045,14121,14245,14325,14409,14519,14613,14689,14771,15183,15351,15471,15553,15633,15927,16003,16133,16209,16295,16407,16499,16579,16663,17055,17221,17341,17425,17505,17819,17899,18029,18107,18191,18303,18399,18483,18563
