l,l,l,l,w,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
5391,5545,5713,5891,6421,6635,6799,6965,7257,7423,7585,7769,7923,8071,8133,8213,8387,8463,8531,8635,8757,8823,8901,9125,9271,9429,9503,9575,9679,9793,9863,9939,10133,10285,10423,10497,10571,10675,10797,10865,10939,11167,11317,11499,11647,11783,11863,11939,12131,12284,12411,12485,12553,12663,12779,12847,12927,13161,13311,13509,13661,13811,13883,13959,14155,14307,14447,14523,14593,14695,14813,14883,14959,15217,15441,15597,15749,15819,15893,16105,16259,16391,16465,16537,16641,16765,16833,16911,17161,17323,17549,17695,17849,17917,17993,18193,18347,18473,18547,18619,18727,18843,18917,18993
5463,5629,5819,5977,6565,6721,6881,7047,7331,7507,7681,7849,8011,8129,8199,8299,8453,8529,8609,8723,8813,8887,8969,9195,9367,9493,9567,9653,9761,9853,9927,10007,10279,10363,10487,10567,10653,10763,10845,10925,11011,11245,11401,11579,11741,11845,11927,12019,12269,12353,12477,12551,12641,12745,12837,12915,12995,13233,13391,13593,13755,13867,13949,14025,14303,14371,14513,14587,14675,14779,14867,14947,15031,15289,15523,15685,15801,15885,15967,16257,16329,16457,16531,16621,16727,16819,16899,16979,17235,17405,17627,17783,17901,17981,18063,18339,18419,18537,18613,18705,18813,18897,18979,19065
