l,w,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1822.2,1990.2,2212.9,2424.8,2565.8,2727.5,2887.5,3145,3304.1,3447.9,3521.8,3602.8,3786.4,3857.8,3929,4035.6,4138.5,4218.3,4291.4,4492.6,4647.9,4785.3,4859.4,4933,5036.9,5144.3,5219.6,5298.1,5560.3,5706.1,5876.5,5949.2,6024,6133.2,6236.9,6313.3,6389.8,6614.2,6760.8,6963.2,7107,7241.5,7316.7,7396.3,7579.2,7733,7865.3,7938.8,8011.7,8117.5,8228,8301.4,8381.9,8588.9,8743.8,8870.3,8945,9017.3,9126,9229.6,9304.3,9383.5,9611.3,9757.3,9943.7,10091,10231,10308,10387,10580,10739,10865,10939,11012,11117,11227,11301,11382
1891.3,2124.1,2298.4,2472.3,2644.5,2800.4,2960.3,3206.1,3372.1,3506.9,3596.7,3672.7,3835.5,3912,3990.4,4100.1,4196.9,4260.3,4342.7,4624.5,4709.8,4834,4912.9,4996.4,5109.6,5204.2,5286.6,5363.3,5622.7,5783.8,5924.7,6004.2,6089.2,6202.2,6299.1,6380.4,6458.1,6680.4,6832.3,7025.2,7186.1,7298.2,7382.1,7463.2,7710.2,7797.3,7915.1,7990.4,8076.6,8193,8286.2,8369.8,8449.4,8721,8808,8922.1,8998.4,9081.6,9193.9,9291.7,9372.5,9449.8,9673,9829.2,10012,10173,10292,10380,10457,10721,10805,10916,10997,11079,11193,11289,11377,11454
