l,l,l,l,r,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,w,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1851.2,1993.7,2154.6,2323.2,2580.7,2752.2,2916.2,3063.8,3339,3512.2,3661.8,3851.1,4000.6,4128.7,4203.7,4283.2,4462.2,4534.8,4605.6,4714.7,4816.5,4887.2,5198.1,5341.9,5506.1,5579.6,5650.2,5759.3,5862.8,5942.7,6016.7,6266.7,6421.4,6590.6,6663.6,6735,6840.6,6948,7023.8,7104.3,7373.6,7516.1,7682.7,7756.3,7828.6,7937.9,8042.3,8117.1,8196.2,8431.7,8574.7,8759.2,8908.2,9043.5,9119.9,9198.7,9381.9,9532.9,9657.8,9734.1,9806.3,9915.3,10019,10094,10174,10379,10526,10670,10745,10817,10922,11031,11108,11185,11420,11559,11756,11906,12042,12117,12198,12398,12550,12680,12755,12827,12933,13042,13114,13198
1898.2,2072.7,2235.1,2397.2,2635.5,2814.7,2982.6,3136.2,3395.8,3574.6,3723.6,3909,4070.8,4191.2,4280.1,4354.9,4511.8,4586.6,4669.8,4781.1,4877,5044.2,5258.7,5414.8,5556.7,5633.1,5717.5,5826.1,5924.3,5986,6066.9,6333.6,6501.6,6643.9,6720.1,6803.4,6911.6,7009.4,7091.5,7171.7,7438.1,7594.6,7737.1,7812.5,7895.5,8002.1,8106.9,8187.4,8265.7,8489,8645,8828.2,8990.7,9107.7,9190.3,9266.8,9513.2,9590.5,9711.7,9788.7,9871.9,9983.7,10080,10165,10244,10510,10592,10722,10801,10884,10994,11094,11176,11256,11478,11629,11825,11986,12105,12188,12267,12534,12610,12734,12812,12897,13005,13105,13195,13276
