l,l,l,l,l,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
1217,1597,1745,1949,2123,2281,2421,2593,2755,2895,3061,3229,3379,3521,3587,3663,3835,3909,3979,4083,4201,4267,4343,4587,4731,4883,4951,5025,5217,5361,5485,5559,5631,5737,5851,5923,5995,6241,6371,6549,6703,6853,6925,6997,7183,7328.2,7461,7535,7605,7707,7823,7895,7969,8229,8369,8557,8705,8845,8919,8995,9173,9323,9451,9525,9595,9701,9811,9885,9961,10221,10377,10599,10749,10905,10973,11047,11257,11407,11549,11623,11693,11799,11911,11983,12059,12407
1255,1643,1883,2055,2209,2357,2505,2663,2829,3005,3137,3305,3463,3567,3645,3739,3893,3971,4049,4157,4251,4325,4425,4659,4821,4933,5005,5087,5351,5433,5547,5623,5707,5815,5903,5983,6061,6311,6443,6631,6795,6903,6983,7069,7316.7,7395,7523,7595,7681,7787,7877,7955,8033,8291,8449,8631,8793,8903,8983,9059,9319,9391,9511,9587,9667,9779,9863,9945,10023,10291,10455,10675,10839,10955,11033,11115,11401,11473,11611,11687,11771,11877,11967,12047,12123,12497
