l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,p,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,l
4427,4933,5121,5327,5497,5673,5833,5981,6181,6341,6481,6549,6627,6811,6885,6957,7063,7185,7253,7331,7559,7709,7867,7941,8015,8119,8235,8303,8379,8607,8761,8923,8995,9069,9175,9291,9359,9437,9661,9831,9977,10135,10205,10281,10469,10621,10743,10817,10891,10997,11111,11185,11261,11497,11631,11809,11963,12111,12181,12255,12445,12601,12727,12799,12873,12977,13093,13163,13239,13447,13595,13729,13805,13879,13985,14105,14175,14253,14663,14813,14957,15039,15115,15311,15463,15599,15671,15743,15847,15969,16039,16117,16355,16501,16709,16867,17023,17093,17171,17557,17713,17875,17945,18023,18241,18393,18521,18597,18669,18777,18893,18967,19045,19339,19487,19637,19709,19785,20627
4717,5061,5221,5423,5575,5741,5909,6049,6259,6417,6527,6605,6683,6871,6945,7027,7141,7239,7311,7393,7633,7791,7927,8005,8087,8193,8287,8359,8449,8681,8841,8983,9059,9141,9251,9343,9415,9501,9727,9905,10063,10187,10263,10345,10609,10685,10805,10883,10967,11075,11167,11243,11323,11563,11701,11891,12053,12161,12237,12321,12587,12667,12783,12861,12947,13051,13145,13223,13303,13585,13667,13791,13871,13953,14065,14157,14235,14319,14739,14897,15021,15097,15181,15453,15531,15659,15733,15817,15925,16021,16097,16179,16423,16577,16785,16959,17077,17153,17235,17633,17801,17927,18003,18085,18381,18455,18583,18663,18747,18855,18949,19027,19113,19415,19573,19691,19771,19851,20671
