l,l,l,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1955,2569,2711,3071,3215,3289.6,3362.6,3543,3613,3683,3785,3891,3960.4,4035.9,4273,4421,4557,4629,4697,4801,4903,4978.3,5054.2,5299,5447,5605,5677,5749,5851,5959,6031,6108.7,6439,6589,6741,6815,6887,6995,7103,7177.2,7254.4,7477,7623,7761,7833,7903,8011,8117,8190.4,8269.2,8509,8683,8833,8969,9043,9120.9,9325,9475,9611,9681,9753,9863,9963,10039,10118,10435,10591,10757,10829,10903,11007,11113,11187,11267,11623,11767,11923,11996,12073,12295,12443,12589,12663,12733,12847,12947,13023,13102
2067,2635,2775,3139,3271,3340.3,3424.9,3593,3667,3749,3853,3945,4024,4103,4399,4477,4607,4681,4759,4871,4963,5045.3,5121.1,5365,5517,5657,5733,5815,5925,6019,6097.9,6175.1,6499,6661,6795,6871,6953,7065,7161,7243.9,7322.3,7599,7685,7813,7889,7973,8081,8177,8259.4,8338,8567,8741,8909,9029,9108.2,9189.1,9455,9529,9665,9737,9821,9933,10023,10106,10185,10501,10667,10809,10889,10973,11079,11177,11253,11332,11673,11841,11981,12062,12144,12427,12503,12643,12719,12803,12911,13009,13092,13168
