r,y,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c
535,2823,3737,3939,4135,4305,4539,4721,4857,5071,5227,5373,5443,5515,5705,5777,5849,5955,6077,6145,6221,6441,6593,6755,6829,6903,7009,7127,7197,7273,7491,7645,7799,7869,7945,8135,8285,8413,8489,8565,8667,8779,8857,8935,9203,9355,9515,9589,9663,9765,9883,9955,10033,10257,10441,10593,10737,10807,10885,11069,11221,11341,11415,11485,11595,11715,11783,11857,12107,12309,12465,12613,12681,12759,12973,13125,13251,13327,13397,13503,13625,13697,13771,14009,14209,14353,14511,14581,14659
601,2957,3879,4033,4231,4403,4613,4795,4941,5153,5309,5417,5497,5581,5761,5839,5925,6035,6127,6203,6287,6515,6685,6813,6893,6977,7085,7177,7259,7337,7571,7739,7851,7927,8011,8275,8353,8475,8555,8643,8751,8839,8917,8997,9279,9449,9579,9653,9737,9851,9939,10015,10097,10327,10521,10685,10791,10869,10965,11205,11285,11403,11479,11563,11673,11769,11847,11921,12175,12389,12551,12667,12741,12821,13109,13179,13313,13391,13477,13587,13679,13757,13839,14081,14291,14447,14563,14641,14721
