l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1901,2091,2491,2647,2795,2951,3119,3319,3477,3609,3687.1,3762.1,3933,4007,4079,4189,4287,4365,4419,4689,4833,4995,5069,5143,5253,5355,5430,5508,5751,5889,6059,6133,6205,6317,6417,6494.1,6572.9,6815,6959,7161,7309,7451,7527.8,7605.3,7805,7959,8097,8171,8245,8349,8457,8535,8613.5,8841,8993,9137,9207,9283,9385,9493,9569.8,9648.8
2009,2207,2553,2721,2869,3029,3193,3387,3549,3673,3741.8,3824.5,3989,4063,4145,4257,4355,4417,4517,4751,4915,5055,5129,5215,5325,5419,5498,5576.9,5813,5969,6117,6193,6275,6385,6483,6562.3,6641.6,6883,7035,7231,7393,7515,7595.4,7674.9,7927,8029,8153,8231,8317,8425,8521,8601.9,8682.7,8983,9023,9193,9267,9351,9463,9557,9640.2,9720.7
