l,l,l,l,w,r,l,r,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1764.3,1970,2198.8,2372.6,2615.2,3381.1,3536.6,3777.5,3948.1,4108.1,4260.4,4878.3,5038.8,5208,5416,5567.6,5718.5,5781.6,5863.6,6039,6111.6,6182.5,6286.1,6392.9,6473.6,6549.2,6813.4,6969.9,7136.6,7209.2,7282.2,7385.8,7494.4,7571.2,7649.8,7867.1,8006,8201.5,8351.5,8484.8,8562.7,8642.2,8869.2,9021.2,9148.1,9221.2,9293.7,9404.1,9509.1,9581.8,9664.9,9869.3,10022,10240,10393,10584,10737,10882,10947,11030,11208,11366,11494,11570,11645,11752,11859,11934,12015,12234,12443,12598,12748,12824,12904,13109,13268,13399,13473,13547,13654,13763,13839,13920,14176,14321,14533,14682,14822,14899,14980,15188,15346,15488,15563,15636,15745,15854,15933,16012
1865.2,2051.8,2270.8,2444,2722.6,3425,3608.1,3834,4028,4178.8,4335,4934.8,5107.2,5276.9,5476.7,5643.9,5766.7,5860.2,5939.8,6090.1,6162.7,6249.3,6358.1,6455.4,6513.9,6598,6872.5,7047.9,7187.1,7260.2,7347.7,7459.4,7552.2,7636,7715.4,7927.3,8078.7,8267.8,8425.8,8545.2,8629.8,8711.5,8998.2,9085.4,9198.7,9274,9359.6,9474.8,9567,9661.2,9741.1,10001,10085,10305,10462,10651,10815,10934,11025,11106,11350,11430,11548,11624,11711,11826,11921,12003,12083,12297,12507,12678,12806,12890,12972,13251,13334,13450,13528,13615,13727,13828,13906,13987,14241,14392,14600,14764,14884,14966,15053,15322,15411,15540,15619,15705,15820,15919,16008,16084
