l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2085,2647,3201,3353,3527,3679,3879,4041,4179,4250.6,4326.3,4499,4571,4641,4749,4847,4921.1,4997.2,5277,5429,5585,5657,5731,5835,5941,6015.6,6095.1,6733,6891,7043,7233,7383,7513,7588.4,7666.5,7861,8009,8137,8211,8283,8387,8493,8570.6,8648.3,8847,9001,9141,9213,9285,9391,9497,9573.1,9651.6,9875,10003,10195,10337,10473,10549,10629,10837,10987,11137,11209,11283,11389,11495,11571,11650
2117,2739,3261,3439,3601,3757,3939,4111,4233,4301.4,4382.9,4555,4627,4709,4813,4909,4984.2,5061.8,5339,5503,5639,5715,5799,5909,6005,6082.2,6160.6,6799,6967,7113,7303,7459,7575,7654.7,7734.2,7991,8077,8191,8267,8351,8459,8559,8637.2,8717.7,8987,9069,9197,9271,9357,9467,9563,9638.1,9721.1,9941,10079,10261,10415,10539,10616,10697,10971,11057,11195,11269,11355,11461,11561,11637,11719
