l,l,l,l,l,r,l,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1981,2107,2357,2995,3237,4009,4179,4351,4595,4753,4913,4993,5065,5167,5277,5357,5431,5671,5825,5991,6063,6137,6239,6357,6427,6501,6783,6931,7091,7159,7233,7421,7571,7703,7777,7847,7951,8071,8137,8213,8491,8669,8815,8961,9031,9105,9317,9463,9587,9659,9729,9835,9949,10023,10099,10309,10491,10639,10783,10853,10929,11133,11283,11417,11489,11561,11665,11785,11855,11929,12281,12467,12621,12769,12839,12913,13121,13267,13395,13469,13541,13645,13763,13835,13911,14203,14359,14529,14601,14675,14903,15055,15201,15275,15349,15455,15571,15643,15719
2019,2233,2459,3111,3355,4083,4261,4429,4673,4839,4977,5051,5137,5245,5333,5413,5495,5749,5915,6049,6125,6213,6319,6407,6483,6567,6871,7027,7137,7217,7299,7557,7631,7763,7839,7923,8029,8117,8197,8277,8559,8749,8899,9009,9089,9189,9449,9533,9647,9723,9807,9913,10005,10081,10161,10377,10567,10727,10837,10917,10993,11271,11351,11477,11555,11635,11749,11833,11913,12005,12343,12541,12703,12821,12897,12981,13261,13337,13459,13535,13615,13725,13817,13897,13975,14277,14453,14581,14665,14739,15051,15123,15263,15339,15425,15537,15625,15711,15785
