l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,r,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y
1979,2489,2621,3049,3253,3783,3945,4097,4329,4487,4639,4707,4779,4957,5029,5099,5203,5319,5387,5463,5683,5827,5971,6043,6115,6217,6335,6403,6477,6743,6881,7079,7227,7375,7443,7519,8213,8381,8533,8721,8869,9031,9105,9175,9277,9393,9465,9537,9737,9879,10017,10091,10159,10263,10383,10451,10525,10761,10945,11093,11239,11309,11381,11607,11759,11895,11967,12037,12143,12259,12327,12405,12795,12947,13105,13177,13249,13355,13471,13541,13617,13839,13993
2017,2559,2739,3175,3341,3853,4031,4177,4407,4581,4687,4759,4843,5017,5091,5175,5283,5369,5449,5531,5815,5893,6033,6107,6193,6301,6381,6469,6547,6813,6965,7155,7319,7425,7503,7603,8289,8455,8609,8803,8965,9095,9169,9255,9361,9449,9523,9607,9877,9949,10081,10153,10239,10347,10433,10509,10605,10833,11023,11183,11295,11373,11461,11755,11829,11959,12035,12117,12227,12317,12393,12471,12869,13031,13169,13243,13327,13437,13527,13607,13683,13981,14063
