w,r,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c
1953.1,2330.1,2492.8,2719.3,2871.6,3035,3105.2,3175.8,3281.2,3378.7,3449.8,3528.1,3783.8,3939.4,4103.7,4174.4,4243.8,4349.9,4449.8,4520.6,4599,4822.8,4976.3,5137.8,5209.8,5282.9,5385.5,5492.5,5562.4,5643.1,5899.4,6043.6,6228.6,6383.6,6522.9,6601.2,6674.1
2041.7,2385.1,2560.7,2774.1,2937.9,3083.6,3155.4,3240.4,3343.2,3436.7,3523.1,3605.6,3841.8,4011.7,4154.9,4228.9,4308.7,4416.1,4510.5,4594.1,4670.6,4886.8,5052.8,5188.4,5264,5349.2,5457.4,5551.9,5639.5,5714.1,5955.2,6110.8,6288.8,6460.6,6581,6644.2,6722.2
