l,l,l,l,l,r,l,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,l
1343,1585,1757,1937,2121,2785,2937,3121,3403,3557,3707,3777,3853,4099,4261,4431,4505,4577,4679,4797,4869,4945,5187,5341,5509,5583,5655,5757,5873,5945,6021,6391,6553,6707,6779,6855,7047,7199,7335,7411,7481,7587,7707,7777,7853,8151,8307,8473,8547,8623,8723,8841,8917,8993,9225,9369,9511,9585,9659,9761,9877,9951,10027,10267,10431,10631,10789,10935,11009,11087,11303,11461,11599,11673,11745,11851,11963,12041,12119,12411,12557,12755,12913,13077,13147,13223,14151
1493,1665,1853,2025,2203,2849,3017,3193,3473,3645,3759,3837,3921,4175,4349,4495,4569,4657,4765,4853,4931,5011,5267,5435,5575,5645,5731,5843,5929,6009,6089,6467,6641,6763,6841,6921,7187,7267,7399,7475,7561,7669,7759,7839,7917,8229,8397,8537,8613,8699,8807,8901,8979,9059,9357,9439,9573,9649,9735,9845,9933,10013,10093,10339,10505,10711,10883,10995,11071,11153,11447,11525,11661,11737,11825,11937,12025,12105,12199,12481,12635,12837,13009,13131,13207,13291,14217
