l,l,l,l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
121,297,517,711,875,1963,2119,2275,2435,2605,2829,2999,3129,3208.4,3280.8,3459,3533,3605,3713,3817,3894.6,3968.6,4213,4369,4535,4609,4681,4787,4893,4967,5046.4,5325,5475,5643,5717.6,5795.5,6027,6179,6335,6407,6483,6591,6699,6779,6854.1,7167,7319,7485,7559,7633,7743,7847,7927,8004.4,8221,8369,8533,8609,8681,8793,8897,8983,9053.8,9295,9437,9631,9773,9911,9989,10067,10275,10431,10571,10643,10719,10825,10933,11010,11090
173,417,615,793,955,2023,2203,2355,2515,2685,2897,3069,3189,3261.2,3346.2,3517,3587,3673,3783,3877,3956.1,4034.2,4285,4445,4587,4667,4751,4861,4955,5034.2,5113.1,5393,5555,5705,5783.5,5864.3,6163,6247,6393,6467,6551,6665,6763,6842.7,6929.3,7237,7399,7541,7617,7703,7815,7909,7991.7,8071,8357,8439,8591,8667,8753,8865,8963,9042.7,9122.7,9361,9511,9687,9855,9977,10054,10136,10413,10495,10625,10705,10789,10899,10999,11078,11158
