w,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1975.5,2481.5,2633.3,2827.2,2991,3235.2,3392.8,3540.2,3602.1,3682.7,3865,3937.8,4009.3,4112.2,4218.5,4297.7,4370.8,4682.8,4841.4,4999.3,5065.1,5142.3,5346.2,5495.1,5631.9,5706.3,5778.4,5884.5,5993.9,6068.2,6146.9,6415.7,6557,6765.8,6915.5,7069.9,7147.1,7224.7,7419.1,7570.6,7718.9,7792.6,7863.9,7970.9,8074.2,8147.9,8227.2
2054.4,2525.4,2739.9,2903.8,3062.3,3293.4,3461.4,3589.6,3676.5,3755.1,3914.5,3991,4070.9,4184,4275.5,4337.5,4423.3,4750.3,4919,5052.4,5132.2,5211.9,5475.2,5557.9,5685.7,5763.7,5846.1,5959.5,6051.5,6134.9,6212.9,6472.8,6632.6,6832.9,6994.9,7131.3,7215,7294.3,7549.2,7635,7772,7845.4,7926.9,8037.6,8138,8223.6,8309
