l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
731,939,1113,1337,1809,1977,2203,2365,2517,2717,2879,3029,3097,3171,3359,3433,3501,3603,3721,3791,3867,4121,4273,4437,4511,4584.2,4685,4803,4873,4949,5155,5305,5445,5521,5591,5697,5817,5885,5961,6209,6353,6533,6683,6859,6929,6997,7103,7213,7293,7371,7613,7759,7891,7967,8037,8145,8265,8331,8409,8651,8801,9001,9149,9297,9367,9441,9645,9797,9925,9999,10069,10175,10291,10363,10439,10673,10813,11035,11177,11331,11403,11479,11677,11827,11959,12031,12105,12213,12321,12399,12477,12739,12947,13097,13255,13321,13401,13607,13763,13903,13975,14045,14153,14269,14343,14421
765,1037,1253,1421,1923,2085,2281,2447,2603,2795,2969,3079,3157,3243,3421,3495,3577,3683,3775,3853,3937,4199,4363,4503,4572.3,4661,4767,4857,4935,5015,5293,5375,5509,5585,5671,5783,5865,5941,6035,6279,6431,6613,6777,6921,6993,7081,7189,7273,7349,7449,7751,7833,7957,8035,8121,8227,8315,8393,8479,8723,8881,9083,9245,9355,9429,9511,9791,9859,9989,10067,10147,10257,10347,10427,10507,10743,10895,11115,11269,11385,11465,11549,11823,11901,12021,12097,12187,12295,12383,12463,12547,12813,13027,13189,13307,13383,13469,13753,13815,13969,14041,14127,14237,14329,14407,14491
