r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1831,1979,2169,2521,2685,2843,3033,3181,3309,3386.1,3461.5,3631,3705,3775,3881,3981,4055.1,4131.4,4433,4583,4743,4815,4887,4991,5095,5171,5247.9,5511,5659,5827,5899,5973,6075,6181,6258.3,6336.5,6555,6701,6835,6909,6979,7085,7189,7265,7342.9,7685,7821,8021,8165,8299,8375.8,8455.3,8671,8815,8947,9019,9093,9199,9305,9379,9457.3
1883,2075,2247,2585,2761,2915,3099,3255,3369,3440.2,3525,3687,3761,3843,3949,4041,4122.7,4197.8,4501,4655,4797,4875,4957,5065,5159,5236.9,5318.6,5577,5739,5885,5957,6041,6149,6247,6325.2,6403.7,6689,6771,6891,6967,7047,7159,7251,7331.1,7409.4,7749,7897,8093,8251,8365,8443.6,8520.3,8801,8885,9003,9081,9159,9275,9367,9449.4,9527.1
