w,l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1990,2635.5,2800.5,2961.2,3150.9,3330.8,3606.1,3774.4,3930.4,4125.3,4268.9,4411.3,4476.2,4554.3,4718.5,4791.6,4861.6,4971.9,5072.8,5144.9,5226.9,5482.7,5625.1,5793.1,5867.1,5939.3,6046.6,6149.4,6221.9,6302,6553.3,6693.8,6884.5,7029.3,7165.2,7244.2,7318.4,7494.8,7646,7767.2,7838.9,7911,8021.5,8125.2,8205.5,8279.5,8497.6,8649.8,8767.8,8840.9,8913.7,9022.1,9126,9201.1,9280.4,9502.4,9641.6,9827.7,9965.1,10123,10195,10275,10458,10606,10730,10801,10875,10984,11086,11162,11241,11439,11591,11728,11800,11871,11980,12082,12158,12236,12551,12693,12881,13023,13178,13246,13324,13536,13690,13813,13886,13959,14068,14172,14247,14327,14540,14695,14830,14906,14979,15090,15195,15269,15351
2071.5,2705.2,2864.7,3023.8,3203.9,3401.3,3664.4,3843.1,3992.7,4180.6,4346.5,4460.5,4550.6,4631.9,4768.8,4844.6,4925.8,5030.9,5128.7,5221.8,5296,5544.4,5695.5,5842.1,5922.8,6001.9,6112.2,6209.2,6297.9,6376.5,6606.2,6756.1,6936.8,7107,7223.7,7315.3,7390.3,7624.8,7701.9,7816.6,7892.4,7976.2,8089,8182.8,8249.9,8331.3,8625,8705.6,8815.9,8894.4,8977.2,9090.3,9185.2,9268.3,9347.8,9558.3,9708.6,9888.6,10046,10183,10272,10348,10580,10660,10778,10856,10937,11050,11146,11229,11310,11571,11648,11779,11854,11937,12047,12144,12228,12302,12604,12759,12944,13095,13229,13311,13393,13668,13752,13864,13942,14027,14137,14233,14323,14401,14676,14755,14884,14962,15044,15160,15257,15348,15429
