l,l,l,l,l,r,l,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,d,d,d,p,a,c,c
1789.8,1994.1,2140.7,2313.8,2952.6,3120.6,3285.3,3454.4,3817.3,3988.4,4148.8,4299.4,4480.3,4627.4,4754.2,4829.3,4909.5,5082.2,5156.4,5228.1,5337.9,5442.1,5517,5596.7,5833.1,5981.7,6162.9,6305.1,6440.7,6522.7,6598,6794.4,6944.9,7070.6,7145,7217.5,7326.3,7431.7,7502.9,7586.1,7844.3,7998.4,8143.4,8222.7,8296.5,8480.5,8638.3,8762.9,8838.3,8911.3,9018.5,9129.9,9202.2,9282.8,9550.3,9689.8,9900.2,10043,10185,10263,10343,10536,10690,10816,10891,10964,11073,11177,11254,11334,11617,11776,11992,12142,12286,12359,12444,12642,12797,12922,12996,13070,13180,13284,13358,13440,13700,13901,14055,14222,14296,14369,14481,14588,14665,14745
1880.5,2040.3,2200,2348.3,3003.7,3163.2,3354.2,3525.4,3869.5,4049.6,4206,4365.8,4537.5,4692,4813.3,4902.7,4981.1,5132.3,5208.9,5294.1,5400.1,5504.5,5588.1,5666.4,5888.5,6042.4,6221.5,6381.9,6501.6,6561.6,6642.9,6919.1,6997.9,7122.9,7203,7283.5,7385.9,7492.6,7582.8,7661.3,7899.6,8072.9,8200.5,8262.4,8346.3,8616.1,8700.5,8814.1,8894.6,8978.8,9089.2,9192,9280.5,9359,9611,9753.9,9960.2,10121,10246,10339,10418,10675,10751,10870,10946,11029,11139,11239,11328,11409,11674,11845,12051,12222,12349,12440,12518,12767,12853,12975,13050,13138,13242,13347,13434,13512,13762,13972,14129,14274,14354,14438,14549,14652,14738,14812
