l,l,l,l,l,l,w,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
7,187,1561,1801,1961,2119,2271,2461,2631,2789,3025,3187,3345,3415,3491,3689,3765,3841,3945,4065,4137,4213,4467,4607,4791,4939,5091,5161,5235,5429,5587,5737,5811,5887,5991,6109,6181,6255,6455,6609,6735,6811,6885,6987,7107,7177,7253,7517,7677,7825,7895,7971,8185,8333,8465,8541,8613,8717,8833,8901,8981
91,247,1717,1891,2057,2211,2353,2529,2715,2865,3103,3273,3395,3469,3567,3751,3831,3923,4029,4119,4199,4279,4537,4685,4871,5033,5139,5223,5299,5573,5649,5799,5877,5961,6075,6165,6243,6321,6597,6677,6799,6871,6963,7071,7161,7241,7321,7593,7769,7881,7959,8043,8317,8391,8529,8605,8693,8797,8887,8961,9045
