l,l,l,r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1957.2,2113.7,2288.9,2493.1,2656.5,2813.2,3060.1,3233.4,3413.1,3566.3,3711.6,3774,3854.8,4039.3,4112.4,4184.3,4288.3,4395.2,4474.9,4548.7,4918.2,5066.1,5228.6,5302.7,5375.8,5484.7,5585.6,5659.9,5740.5,5976.5,6112,6294.8,6435.2,6572,6646.6,6724.9,6907.7,7056.9,7186.9,7261.1,7334.1,7444,7546.8,7618,7699.2,7933.2,8076.1,8249,8391.4,8524.2,8599.6,8678,8859.9,9012.4,9128.9,9202.4,9274,9384.5,9488.1,9562.6,9639.9,9839.9,9993.6,10115,10188,10261,10370,10475,10549,10629
2023.4,2179.2,2355.9,2539.8,2724.1,2888.7,3123.1,3293.8,3477.5,3634.9,3760.2,3849.9,3926.2,4089.9,4167.1,4249.7,4354.4,4453.1,4518.4,4601,4975.8,5140.1,5280.2,5358.2,5443.5,5550.2,5648.4,5732.8,5812.2,6035.8,6177.4,6355.4,6512.3,6630.5,6714.1,6793.3,7038.3,7115.4,7240.3,7316.5,7398.9,7511.2,7605.7,7696.2,7773.5,7989.2,8137.2,8306.8,8463.5,8584.5,8663.7,8743.4,8991.5,9066.5,9181.8,9258.2,9340.2,9450.4,9548,9634.9,9713.3,9974.2,10050,10166,10245,10328,10437,10534,10620,10700
