l,l,l,y,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r
3351,3491,3703,3857,4017,4183,4359,4511,4679,4891,5063,5211,5279,5353,5533,5609,5681,5785,5907,5975,6049,6293,6437,6589,6657,6731,6925,7073,7199,7271,7343,7445,7567,7635,7709,7941,8093,8261,8351,8475,8661,8809,8949,9021,9095,9267,9415,9535,9611,9683,9785,9903,9975,10051,10273,10441,10583,10731,10801,10877,11057,11211,11337,11409,11481,11587,11703,11773,11849,12059,12195,12369,12519,12659,12731,12807,13001,13153,13281,13355,13425,13531,13645,13721,13797,14071
3419,3613,3781,3945,4109,4265,4423,4591,4759,4969,5147,5257,5335,5417,5593,5667,5751,5861,5953,6031,6111,6361,6521,6639,6709,6795,7059,7141,7257,7331,7415,7521,7613,7691,7787,8021,8181,8321,8427,8557,8735,8897,8999,9079,9179,9403,9483,9599,9673,9757,9863,9957,10035,10115,10347,10513,10669,10781,10859,10957,11197,11277,11397,11471,11557,11665,11755,11833,11911,12127,12271,12449,12607,12711,12785,12869,13143,13219,13343,13419,13501,13611,13703,13783,13871,14147
