l,l,l,l,r,l,l,r,w,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
23,1121,1987,2183,2613,2769,2915,3151,3309,3465,3675,3837,3985,4055,4129,4311,4383,4453,4559,4679,4747,4823,5067,5213,5371,5445,5517,5625,5745,5815,5889,6141,6269,6455,6605,6755,6827,6901,7091,7241,7361,7435,7505,7611,7729,7799,7875
107,1177,2085,2281,2683,2847,2999,3225,3395,3543,3755,3921,4031,4111,4193,4367,4443,4527,4635,4729,4807,4885,5137,5299,5431,5507,5591,5701,5797,5875,5953,6207,6347,6539,6695,6807,6887,6967,7223,7293,7421,7499,7581,7689,7775,7859,7957
