l,l,l,r,l,l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1943,2387,2597,3527,3663,3825,3983,4231,4385,4533,4687,4865,5059,5205,5337,5417.9,5491.4,5675,5747,5819,5923,6031,6107.8,6185.9,6495,6649,6813,6887,6961,7069,7177,7251.7,7331.5,7567,7715,7911,8063,8203,8279,8360.1,8551,8701,8849,8923,8993,9099,9207,9283,9363.8,9605,9749,9949,10099,10243,10321,10398,10573,10727,10849,10923,10997,11105,11209,11285,11366,11589,11735,11937,12085,12223,12303,12382,12571,12729,12877,12951,13025,13131,13239,13316,13396,13631,13783,13983,14135,14277,14358,14435,14629,14785,14935,15009,15081,15189,15295,15374,15454
2043,2515,2677,3563,3755,3897,4055,4283,4457,4609,4759,4935,5111,5281,5401,5472.6,5551,5729,5801,5885,5991,6095,6172.9,6250,6561,6725,6867,6945,7029,7141,7239,7309.8,7399.1,7633,7787,7975,8143,8265,8345.7,8424,8687,8765,8901,8979,9061,9169,9273,9351.5,9431.1,9669,9827,10017,10177,10307,10387,10466,10703,10785,10903,10981,11065,11175,11271,11354,11434,11653,11799,12005,12163,12293,12368,12450,12705,12791,12933,13009,13093,13203,13305,13386,13464,13697,13857,14051,14215,14345,14422,14500,14767,14847,14991,15067,15149,15263,15361,15443,15522
