l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1415,1575,1781,1955,2119,2263,2427,2611,2767,2979,3141,3291,3363,3437,3615,3691,3761,3867,3987,4055,4131,4365,4513,4673,4749,4819,4925,5041,5113,5193,5409,5591,5745,5895,5967,6043,6239,6387,6513,6591,6661,6765,6881,6951,7025,7239,7389,7535,7609,7681,7791,7911,7977,8053
1503,1697,1895,2061,2201,2353,2505,2695,2855,3061,3235,3347,3423,3503,3677,3753,3837,3947,4039,4117,4201,4441,4607,4739,4815,4901,5005,5101,5177,5257,5481,5671,5833,5953,6033,6109,6379,6461,6579,6655,6743,6851,6935,7017,7095,7377,7463,7599,7677,7771,7873,7961,8043,8143
