r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l
1979,2127,2345,2647,2811,2967,3183,3339,3483,3555.6,3628.1,3811,3885,3957,4061,4163,4237,4314.2,4609,4753,4921,4993,5063,5169,5273,5347,5426.1,5823,5977,6139,6211,6283,6389,6493,6569.1,6646.4,6885,7027,7171,7243,7315,7421,7527,7600.6,7679.6,8011,8157,8287,8359,8431,8535,8641,8717.6,8796.4,9719,9879,10023,10359,10491,10572,10645,10851,11003,11135,11209,11281,11387,11491,11566,11646,12055,12207,12359,12436,12514,12719,12867,13003,13077,13149,13257,13359,13436,13513,13743,13897,14045,14121,14195,14303,14409,14485,14565,14855,15015
2033,2259,2427,2709,2877,3037,3247,3413,3537,3614.9,3692.8,3867,3939,4021,4129,4225,4296.1,4382.6,4679,4831,4975,5051,5135,5241,5337,5415.7,5492.8,5889,6055,6197,6271,6353,6461,6559,6633.8,6713.5,7011,7093,7223,7299,7383,7495,7589,7666.8,7746.4,8141,8221,8341,8419,8501,8609,8707,8783.7,8863.8,9785,9947,10095,10439,10553,10634,10711,10987,11067,11193,11269,11351,11459,11555,11635,11713,12125,12289,12425,12504,12583,12851,12935,13059,13137,13217,13329,13423,13504,13587,13881,13961,14103,14179,14263,14379,14473,14553,14634,14917,15089
