l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1943,2127,2295,2477,2655,2829,3001,3153,4055,4207,4359,4573,4733,4869,4945.9,5022.5,5209,5281,5355,5463,5565,5642.6,5720.7,5951,6099,6265,6337,6411,6519,6629,6706.8,6785.3,6999,7147,7281,7355,7427,7539,7641,7720.4,7798.6,8027,8163,8359,8503,8643,8721,8799.8,8983,9135,9265,9337,9411,9517,9621,9698,9776.6,10003,10159,10293,10367,10439,10547,10653,10729,10810,11077,11207,11401,11545,11679,11757,11838,12025,12175,12309,12379,12455,12561,12667,12745,12825
2019,2209,2371,2565,2729,2903,3071,3235,4115,4283,4437,4639,4811,4933,4998.1,5085.8,5263,5341,5421,5531,5627,5706.5,5786.2,6017,6179,6323,6399,6479,6591,6691,6773.7,6852.9,7133,7211,7339,7413,7499,7607,7709,7786.9,7865.6,8091,8243,8429,8587,8709,8787.2,8868.1,9121,9201,9321,9399,9479,9587,9685,9761.5,9843.8,10135,10215,10351,10427,10513,10621,10719,10796,10876,11137,11281,11467,11623,11747,11825,11906,12151,12243,12365,12439,12525,12637,12733,12813,12894
