l,l,l,l,l,l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,x,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c
1990.6,2655.3,2805.3,3018.4,3217.7,3357.9,3513,4142.7,4307.7,4480.8,4643.9,4798.8,4988.4,5138,5282.9,5344,5425.3,5602.5,5674.5,5746.2,5853.6,5956.2,6026.8,6108.5,6350,6501.2,6665.2,6739.2,6810.2,6919.9,7022.4,7096.5,7176.1,7413.8,7572.4,7744.6,7894.2,8033.9,8107.8,8191.2,8404.7,8554.6,8687.2,8760.8,8833,8942.1,9045.8,9117.3,9200.2,9413.2,9570.2,9708.5,9781.9,9853.1,9959.5,10067,10139
2022.9,2703.7,2917.2,3085.8,3273.4,3426.8,3582,4204.4,4373,4538.9,4709.8,4866,5047,5209.7,5334.2,5418.7,5499.8,5651.2,5728.1,5810.9,5916.2,6016.6,6102.1,6181.9,6411.1,6573.6,6715.1,6789.8,6876.3,6985,7085.2,7170.3,7250.9,7473.5,7637.2,7808.8,7969.9,8095.6,8180.3,8267.8,8529.8,8609.9,8739.8,8817.4,8898.4,9009.2,9107.5,9192.1,9273.1,9550.8,9627.7,9760.1,9837.1,9919.7,10028,10131,10295
