w,r,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1587.1,1991.6,2165.6,2472.6,2638.9,2830.2,2976.1,3111.6,3188.7,3265.4,3444.2,3517.8,3587.6,3693.7,3797,3870.2,3947.2,4216.1,4360.2,4519,4591.6,4662.8,4770.9,4871.1,4945.7,5023.3,5333.8,5481.2,5639.8,5712,5780.7,5889.5,5991.6,6065,6144.7
1649.8,2035.1,2256.2,2523.7,2701.6,2886.8,3051,3174.2,3261.7,3337.3,3498.2,3569.1,3652.3,3760.2,3856.4,3942.9,4021.1,4274,4436.3,4570.5,4644.4,4728.1,4834.7,4931.4,5019.7,5097,5391.8,5554.3,5690.8,5767.3,5850.4,5955.7,6050.2,6141.6,6221.2
