l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c
2453,2588.6,2762.4,2930.3,3067.8,3507.8,3672.1,3837.9,4051.1,4201.2,4349,4409.8,4489.5,4692.2,4764.2,4834.5,4935.3,5039.3,5109.9,5188.3,5431.8,5580.5,5746.1,5817,5887.2,5989.9,6093.7,6163.8,6244.5,6495.6,6650.2,6813.3,6886.8,6957.4,7059,7164.9,7235.3,7317.3,7629.2,7779.7,7948,8021.6,8094.8,8201,8303,8381.5,8455.3,8738.6,8858.8,9005.9,9077.8,9148.7,9256.3,9359.9,9434.9,9511.5
2507.4,2688.8,2838,3000.9,3143.2,3563.7,3737.6,3903.8,4109.8,4277.7,4398.9,4482.4,4560.5,4741.8,4816.2,4895.4,5004.9,5099.4,5185.3,5264.7,5495.5,5662.6,5794.6,5868.8,5952,6061,6154.8,6240.5,6318.5,6560.5,6727.4,6865.6,6939,7020.4,7127.4,7227.8,7310.2,7388.8,7687,7852.9,7999.4,8073.6,8159.9,8268.8,8362.6,8427.5,8506,8814.8,8910.2,9056.9,9131.6,9212.9,9321.6,9421.1,9496.5,9580.5
