l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
3495,3703,3849,4001,4189,4353,4497,4693,4847,4983,5055,5127,5311,5383,5451,5553,5657,5736.7,5809,6035,6177,6337,6405,6477,6581,6683,6762.4,6836.1,7055,7209,7369,7443,7513,7619,7723,7800.1,7875.1,8077,8223,8367,8439,8509,8613,8717,8792.9,8869,9117,9299,9443,9587,9664.8,9741.2,9925,10071,10215,10283,10355,10459,10567,10637,10715,10925,11075,11205,11279,11349,11455,11559,11637,11714,11921,12075,12205,12279,12351,12459,12563,12640,12718
3611,3773,3919,4077,4227,4407,4561,4753,4923,5043,5123,5199,5365,5437,5519,5623,5721,5788.1,5873.7,6105,6257,6389,6463,6545,6651,6747,6821.1,6898,7125,7283,7423,7499,7575,7687,7785,7862.1,7942.7,8207,8279,8425,8499,8577,8685,8781,8854.4,8937.9,9179,9365,9521,9653,9727.8,9809.1,10047,10139,10265,10339,10423,10531,10629,10704,10783,11059,11133,11261,11335,11417,11527,11623,11703,11780,12059,12135,12261,12337,12421,12529,12627,12707,12786
