l,y,w,w,r,l,r,w,l,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1025,1187,1415,1751,1979,2127,2353,2437,2489,2773,2937,3095,3293,3445,3587,3657,3729,3913,3987,4055,4161,4271,4339,4413,4583,4785,4943,5017,5087,5187,5305,5373,5447,5679,5835,6015,6169,6300.5,6379,6457,6661,6808.9,6949,7021,7087,7193,7303,7375,7453
1119,1327,1491,1891,2049,2231,2435,2463,2597,2855,3021,3165,3385,3541,3637,3723,3795,3975,4053,4133,4239,4321,4403,4479,4737,4869,5011,5083,5167,5273,5359,5437,5515,5755,5925,6091,6267,6366.8,6451,6527,6798.8,6871,7011,7085,7173,7279,7363,7445,7521
