l,l,l,r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1828.4,1989.7,2165.3,2376.8,2544,2687.6,2945.3,3114.8,3325.4,3479.2,3609.2,3681.9,3764,3945,4019.3,4091.3,4199.8,4301,4373.8,4456.8,4765.3,4917.7,5099.2,5173.6,5246.7,5355,5467.5,5538.3,5623.1
1906.6,2081,2256.7,2427.4,2618.2,2759.6,3006.8,3183.6,3388.2,3550.7,3666.9,3757.1,3833,3994.2,4069.4,4158.6,4266.3,4360.1,4452.1,4530.6,4832.3,4997,5149.3,5228.6,5312.1,5424.2,5527.5,5619.5,5699.9
