r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1987.1,2178.5,2456,2623.2,2783.7,2971.6,3118.8,3252,3327.6,3407.3,3571.7,3644.2,3716.2,3826.2,3925.3,4000.5,4078,4307.8,4462.2,4622.8,4695.2,4769.2,4881.3,4983.1,5057.9,5137.6,5363.8,5527.1,5701.3,5844.7,5987.7,6060.1,6142.6,6326.2,6481.5,6611.9,6686.8,6758.8,6865.4,6972,7045.9,7128.7,7402.5,7558,7761.2,7929.6,8072.4,8148.3,8227,8421.2,8573.3,8695.9,8771.2,8844.8,8955.1,9056.2,9129.9,9213.3,9546.8,9691.4,9858.7,9932.6,10007,10119,10221,10296,10376,10621,10816,10959,11111,11185,11267,11460,11616,11760,11835,11908,12018,12127,12202,12284
2030.1,2260.3,2515.6,2687.4,2844.5,3028.6,3190.6,3311.4,3399.8,3478.9,3617.2,3696.9,3778.7,3885.4,3982.6,4064.2,4148.5,4369.5,4537.5,4666.6,4748.9,4836.9,4941.5,5044,5129.4,5207.8,5423.9,5589.7,5758.1,5916.7,6047.5,6139,6217.6,6456,6533.8,6663.6,6742.4,6824.6,6932.2,7037.6,7121.3,7202,7453.3,7617.8,7816.7,7994,8131.4,8220.9,8297.9,8550.1,8626.6,8744.6,8826.9,8910.9,9019.1,9118.4,9203.9,9290.2,9602.8,9764.1,9905.8,9987.3,10070,10180,10281,10367,10449,10683,10876,11034,11172,11263,11345,11590,11672,11815,11890,11976,12085,12189,12276,12356
