l,l,l,l,l,l,l,l,l,l,w,w,l,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
161,1471,1805,1951,2171,2355,2517,3365,3541,3709,3873,4049,5045,5353,5507,5679,5867,6029,6189,6259,6335,6549,6697,6835,6911,6983,7089,7209,7279,7355,7603,7745,7939,8095,8243,8313,8391,8613,8767,8903,8977,9049,9161,9277,9349,9427,9699,9845,10027,10179,10331,10401,10477,10677,10831,10967,11041,11113,11223,11341,11411,11487,11703,11841,12045,12197,12345,12419,12495,12689,12843,12971,13045,13119,13227,13347,13410,13493,13963,14113,14255,14337,14413,14637,14791,14919,14995,15067,15173,15297,15365,15445
189,1503,1887,2057,2261,2443,2605,3473,3635,3787,3963,4149,5189,5431,5603,5765,5945,6121,6239,6315,6401,6687,6771,6901,6975,7065,7173,7259,7341,7435,7679,7831,8021,8193,8297,8375,8479,8755,8841,8967,9045,9129,9241,9333,9413,9491,9771,9927,10107,10273,10389,10465,10555,10823,10895,11033,11107,11197,11305,11397,11475,11555,11785,11937,12127,12295,12401,12483,12565,12837,12913,13037,13113,13203,13311,13400,13477,13559,14043,14205,14319,14403,14497,14777,14859,14985,15063,15153,15263,15343,15431,15519
