l,l,r,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
207,415,651,829,1951,2147,2471,2631,2823,2977,3115,3194.5,3268,3451,3523,3595,3703,3805,3885.6,3959.2,4193,4343,4501,4575,4647,4759,4859,4935.4,5014.3,5255,5419,5581,5653,5727,5833,5939,6015,6092,6333,6481,6641,6717,6789,6893,6999,7075.4,7155.6,7897,8051,8195,8379,8525,8677,8752.6,8830.4,9013,9161,9293,9367,9439,9545,9651,9730.8,9808.9,10019,10171,10301,10375,10447,10557,10661,10742,10818,11467,11635,11767,11955,12101,12237,12313,12391,12573,12725,12855,12927,13001,13105,13211,13288,13368,13577,13729,13869,13943,14015,14123,14229,14307,14387
291,507,711,887,2069,2231,2523,2697,2887,3051,3175,3245,3326.5,3505,3581,3661,3771,3867,3944.6,4025.2,4257,4419,4557,4637,4717,4827,4925,4994.2,5076.6,5321,5491,5639,5713,5797,5905,6001,6079.6,6158.7,6399,6557,6695,6775,6859,6965,7065,7143.5,7222.5,7953,8125,8269,8447,8603,8741,8818.4,8895,9149,9227,9351,9425,9509,9621,9717,9794.8,9870.1,10155,10233,10357,10435,10515,10627,10727,10806,10878,11531,11701,11841,12019,12177,12303,12375,12459,12715,12789,12909,12987,13069,13179,13277,13355,13434,13711,13795,13923,14003,14083,14199,14291,14375,14456
