l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
3527,3695,3871,4037,4153,4391,4553,4715,4785,4861,5057,5129,5203,5311,5433,5503,5579,5907,6063,6223,6297,6369,6473,6591,6661,6737,6959,7105,7239,7311,7387,7491,7607,7677,7751,7975,8125,8297,8445,8593,8665,8739,8925,9075,9193,9267,9339,9443,9563,9631,9707,9927,10101,10273,10421,10555,10637,10715,10905,11059,11197,11271,11341,11447,11563,11635,11709,11963,12131,12281,12429,12503,12579,12767,12917,13047,13121,13193,13297,13413,13485,13559,13845,13995,14161,14235,14307,14415,14529,14599,14675,14901,15041,15231,15379,15533,15605,15681,15883,16031,16173,16247,16319,16425,16543,16613,16689
3613,3777,3933,4113,4275,4459,4633,4759,4839,4923,5113,5189,5275,5385,5479,5559,5657,5981,6147,6283,6355,6441,6549,6643,6717,6801,7095,7171,7295,7373,7457,7567,7657,7749,7817,8043,8193,8369,8533,8643,8723,8805,9065,9139,9251,9329,9411,9519,9613,9687,9771,9995,10173,10349,10507,10617,10695,10787,11047,11125,11257,11333,11419,11527,11619,11693,11773,12027,12209,12369,12483,12563,12643,12913,12985,13107,13183,13265,13375,13467,13545,13623,13923,14083,14223,14299,14381,14489,14583,14659,14735,14967,15117,15303,15465,15587,15665,15741,16023,16099,16235,16311,16397,16503,16595,16675,16767
