l,l,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1909,1943,2105,2307,2471,2623,2779,3077,3233,3465,3595,3729,3805,3882.6,4073,4147,4217,4323,4425,4499.6,4577.4,4891,5039,5195,5269,5339,5463,5549,5625.2,5703.2,6015,6167,6327,6399,6469,6575,6677,6754.1,6832.7,7053,7203,7335,7407,7479,7585,7689,7765.1,7843.2,8073,8215,8415,8563,8703,8779.3,8857,9059,9207,9343,9417,9511,9595,9699,9773.8,9852.6
1937,2011,2223,2397,2547,2697,2855,3113,3303,3503,3671,3791,3864.9,3942.8,4127,4203,4285,4395,4489,4561.7,4642.4,4957,5111,5251,5327,5411,5519,5615,5696.6,5770.7,6085,6247,6381,6457,6539,6647,6745,6824.7,6901.1,7187,7265,7389,7465,7547,7659,7751,7835.6,7904.8,8137,8279,8481,8643,8771,8849.9,8926.8,9193,9273,9399,9475,9557,9669,9763,9847.5,9924.1
