r,l,r,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1984.6,2145.9,2473.1,2647.8,2900,3074.8,3240,3311.4,3380.9,3483.5,3587.7,3657.8,3737.8,3967,4122.4,4288.6,4360.8,4432.5,4533.6,4641.9,4721.8,4794.7,5805,5959,6109.1,6292.2,6436.8,6587.3,6660.9,6738,6908.3,6980.5,7052.6,7156.2,7261.7,7334.1,7412.9,7630,7777.7,7909.8,7982.5,8052.1,8155.7,8259.2,8331.9,8410.6,8616.1,8768.2,8908.1,8981.6,9053.4,9154.6,9262.6,9335.9,9414.8,9753,9906.4,10101,10253,10385,10461,10539,10747,10895,11029,11102,11174,11277,11384,11456,11536
2035.3,2251.2,2537.7,2721.8,2965.8,3143.4,3288.8,3362.3,3446,3551.7,3644.7,3731.8,3813.8,4037.5,4205.1,4341.4,4414.9,4499.1,4604.2,4702.4,4768.7,4847.1,5863.8,6023.4,6179.8,6354,6518,6646.5,6727.3,6812.8,6961.2,7034.5,7119.9,7229.9,7320.8,7405.2,7484,7760.6,7839.7,7963.2,8034.8,8121.5,8226.6,8320.6,8401.3,8479.2,8749.7,8831.2,8960,9034.3,9121.7,9227.4,9323.3,9409.7,9487.2,9812.4,9976.6,10167,10332,10449,10530,10611,10876,10957,11083,11157,11244,11350,11442,11526,11612
