r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1947.9,2107.8,2270.6,2492.1,2650,2784,2854.4,2935.7,3119.6,3193.9,3264.8,3367.5,3474.1,3546,3627.8,3863.1,4009.6,4173.6,4246.4,4317.4,4421.2,4530.2,4609.1,4685.1,4889.7,5039.9,5161.2,5237.2,5309.1,5415.1,5522.5,5597.3,5674.9,5896.2,6050.9,6186.8,6260.7,6331.9,6436,6545,6621.6,6700.1,6914.5,7065.3,7214.1,7287.8,7359.6,7470.2,7574.5,7646.2,7728.3,8037.4,8181.5,8342.4,8417.8,8488.9,8594.6,8704.2,8778.7,8857.8,9078.3,9227.7,9355.5,9429.9,9503.1,9611.2,9719,9792.5,9875,10093,10250,10392,10466,10540,10649,10754,10830,10910,11142,11296,11433,11507,11581,11687,11797,11874,11954
2003.3,2195,2342.2,2551.4,2720.7,2844.1,2931.1,3009.8,3171.6,3247,3329.2,3437.3,3536.1,3623.8,3700.8,3924.2,4086.8,4229.9,4300,4383.1,4493,4592,4654.6,4736.8,5017.2,5098.6,5213,5291,5373.8,5481.1,5583.7,5660.7,5740.4,6030.4,6107.6,6241.5,6314.8,6399.1,6506.8,6606.6,6691.6,6770.4,7047.7,7127.8,7264.8,7342.2,7429.2,7538.2,7635.9,7722.7,7801.7,8094.1,8258.9,8396.5,8473.1,8554.7,8667.8,8767.1,8850.4,8929.9,9209.4,9288.6,9409.8,9484.8,9568.8,9676.7,9781.8,9871.3,9947.7,10225,10304,10446,10522,10610,10715,10816,10902,10980,11279,11359,11490,11563,11648,11759,11861,11945,12020
