r,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2759,2911,3081,3261,3431,3595,3849,4037,4231,4385,4527,4605,4680.2,4859,4931,5001,5111,5215,5290.9,5368.2,5639,5783,5945,6017,6091,6197,6305,6381,6458,6697,6827,6959,7031,7105,7223,7317,7392.4,7470.8,7769,7915,8105,8255,8393,8469.5,8548.5,8753,8903,9045,9119,9191,9297,9405,9480.6,9560.4,9793,9943,10083,10155,10229,10337,10439,10514,10594,10887,11035,11177,11254,11333,11561,11713,11843,11917,11991,12099,12205,12282,12362,12587,12735,12881,12955,13027,13137,13241,13318,13398,13633,13831,13981,14119,14199,14279,14475,14631,14769,14845,14921,15027,15133,15211,15292,15577,15729,15879,15957,16037,16243,16397,16545,16621,16697,16805,16911,16987,17068
2813,2999,3167,3343,3507,3669,3915,4105,4293,4457,4585,4659.5,4738.6,4911,4983,5069,5177,5277,5355.5,5434.8,5693,5857,5997,6077,6159,6271,6363,6442.9,6522.7,6803,6891,7011,7091,7175,7285,7381,7460.6,7539.1,7835,7985,8173,8333,8455,8533.8,8616.7,8887,8971,9099,9177,9263,9371,9471,9550.3,9628.6,9929,10013,10137,10213,10295,10407,10503,10583,10662,10953,11115,11245,11324,11404,11697,11775,11899,11973,12063,12171,12269,12350,12430,12721,12797,12937,13015,13099,13207,13305,13393,13466,13697,13903,14065,14187,14267,14351,14615,14699,14829,14903,14989,15101,15201,15281,15357,15641,15811,15945,16026,16111,16375,16465,16601,16679,16767,16879,16977,17057,17144
