r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1969,2113,2303,2535,2705,2851,2927.4,3003.3,3197,3269,3337,3439,3541,3619.9,3692.3,3921,4069,4233,4307,4379,4481,4587,4662.9,4741.3,4979,5131,5295,5367,5439,5541,5645,5724,5799.6,6025,6173,6313,6385,6457,6563,6665,6746.5,6820.5,7819,7975,8111,8301,8447,8577,8654.4,8730.8,8905,9053,9171,9243,9315,9419,9523,9601.8,9679.8,9871,10039,10151,10223,10295,10401,10507,10583,10662,10897,11027,11213,11357,11499,11574,11652,11839,11991,12127,12197,12269,12375,12479,12556,12635,12989,13139,13297,13371,13443,13551,13655,13735,13811,14111,14263,14419,14493,14567,14673,14777,14856,14933,15203,15359,15523,15599,15671,15777,15881,15958,16037
2025,2223,2391,2605,2777,2913,2981,3058.7,3251,3323,3403,3509,3605,3677.4,3753.4,3991,4149,4291,4363,4447,4553,4651,4733,4807.8,5053,5209,5351,5425,5509,5615,5711,5785.2,5864.4,6159,6241,6369,6441,6519,6635,6727,6808.3,6886.3,7883,8051,8181,8371,8521,8639,8709.6,8792.6,9037,9117,9229,9303,9385,9493,9589,9666,9744,10005,10083,10205,10283,10365,10467,10567,10658,10728,10963,11095,11271,11441,11565,11641,11720,11975,12057,12181,12257,12339,12449,12543,12626,12703,13055,13219,13355,13431,13513,13623,13719,13796,13872,14181,14341,14479,14553,14639,14747,14843,14914,14995,15269,15439,15583,15659,15741,15847,15947,16024,16102
