r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1969.2,2127.2,2330,2552.1,2717.3,2940.5,3090.8,3224.6,3294.2,3372.1,3566,3638.4,3706.3,3809.7,3908.4,3986.2,4058.7,4294.4,4447.8,4606.3,4677.8,4746.4,4853.8,4953.7,5027.1,5104.9,5526.4,5687.2,5848.1,5919.7,5990.7,6096.4,6199.2,6273.9,6349.1,6545.6,6687.3,6820.2,6891,6962.8,7065.1,7170.6,7240.1,7321.7,7607.4,7754,7919.3,7990.3,8061.7,8169.2,8270.8,8347.2,8423.9,8643.3,8788,8930.3,9001.6,9073.8,9179.8,9282.2,9357.3,9434.2
2007.8,2222.8,2415.8,2605.5,2782,2993.3,3160.6,3278.1,3365.3,3447,3613.3,3689.7,3769,3874,3964.7,4028.4,4106.4,4351.6,4515.5,4654.8,4732.7,4808.8,4920.8,5014.1,5091.9,5170.9,5585.2,5759.3,5900.9,5974.6,6055.4,6165,6256.4,6332.6,6417.2,6663.4,6751,6871.1,6944.8,7028.1,7137.9,7228.2,7318.2,7396.6,7660.3,7823.2,7967.9,8043.1,8128.8,8234.1,8328.7,8414.2,8491.4,8768.8,8847.8,8980.6,9056,9140.3,9249.9,9342.5,9424.1,9504.7
