l,l,r,l,l,l,l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1985,2191,2421,2643,2859,3015,3193,3975,4139,4291,4455,4619,4853,5007,5149,5227.6,5303,5481,5555,5629,5733,5837,5913,5991.5,6233,6379,6547,6621,6695,6803,6909,6985,7063.2,7283,7433,7567,7639,7713,7819,7927,8003,8081.1,8333,8479,8637,8709,8785,8887,8997,9074,9151.7,9511,9661,9815,9894,9970.9,10167,10323,10455,10527,10599,10709,10813,10892,10971,11361,11505,11669,11743,11815,11925,12027,12104,12184,12399,12551,12679,12753,12829,12931,13039,13116,13196,13441,13601,13799,13953,14091,14170,14248,14449,14605,14733,14807,14879,14983,15091,15168,15246,15543,15693,15849,15923,15997,16105,16209,16284,16365
2103,2267,2471,2765,2945,3097,3273,4037,4223,4377,4539,4699,4921,5081,5213,5282.1,5368.5,5537,5613,5695,5803,5901,5979.3,6058.4,6297,6461,6601,6679,6763,6871,6973,7049.7,7126.8,7399,7495,7621,7697,7781,7889,7993,8069.6,8146.1,8401,8559,8693,8767,8853,8967,9063,9140.3,9219.8,9581,9741,9879,9957.9,10037,10289,10389,10511,10587,10667,10781,10879,10960,11039,11429,11585,11723,11799,11885,11995,12091,12170,12249,12533,12619,12733,12811,12895,13007,13105,13185,13262,13507,13677,13867,14035,14159,14236,14317,14589,14665,14791,14865,14947,15059,15153,15235,15314,15611,15775,15907,15983,16067,16177,16275,16353,16430
