r,w,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,l,p,p,a,c,c,x,y,d,d,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1840.4,1987.8,2199.6,2438.1,2602.9,2761.8,2967.3,3114.1,3241.4,3312.6,3393.6,3577.2,3646.4,3715.9,3819.1,3921.5,3993,4073.4,4283.8,4428,4588.7,4662.5,4733.7,4842.9,4941.4,5012.9,5094.1,5292,5437.9,5570.1,5642.6,5714.3,5819.9,5923.7,6003.7,6076.4,6307.9,6473.9,6653.4,6791,6922.2,6996.8,7075.1,7256.1,7410,7530.3,7603.7,7677.3,7779.3,7885.3,7957,8037.9,8244.7,8396.2,8530.4,8604.6,8676.4,8783.8,8886.7,8959.3,9041.6,9298.5,9410.2,9563.8,9763.9,9913.6,10051,10123,10206,10397,10546,10666,10742,11164,11320,11479,11676,11821,11951,12029,12106,12294,12447,12572,12643,12715,12823,12926,13001,13081,13346,13499,13634,13708,13789,13988,14140,14265,14339,14411,14516,14623,14700,14776
1879,2116.5,2273.7,2502.9,2671.3,2838.3,3027.2,3183.7,3303.5,3387.8,3463.8,3625.7,3698,3782.1,3887.7,3981.2,4070.4,4144.6,4345.9,4504.4,4642.3,4716.2,4800.1,4908.2,5000.8,5090.9,5163.6,5420.1,5494.9,5621.5,5698.3,5780.6,5890.3,5984.5,6044.6,6129.3,6359.2,6537.5,6713.7,6865.5,6981.2,7068.8,7147.6,7385.4,7468,7581.7,7658.7,7740.9,7850.2,7946.2,8034.8,8109.7,8381.2,8459.2,8579.8,8659.9,8740.2,8851.1,8947.3,9038.6,9115.8,9349.1,9483,9634,9829.2,9993.1,10113,10202,10277,10529,10608,10720,10800,11231,11389,11549,11741,11901,12013,12094,12177,12428,12508,12623,12698,12781,12891,12989,13070,13146,13412,13579,13696,13778,13857,14124,14201,14319,14394,14478,14588,14683,14769,14849
